student_id,course_id,marks,grade
STU0001,CRS003,68,B
STU0001,CRS008,76,B+
STU0001,CRS007,93,A
STU0001,CRS014,64,C
STU0001,CRS012,75,B+
STU0002,CRS006,84,B+
STU0002,CRS012,62,C
STU0002,CRS015,72,B
STU0002,CRS007,83,B+
STU0002,CRS003,70,B
STU0002,CRS013,64,C
STU0002,CRS009,61,C
STU0002,CRS002,58,C
STU0002,CRS011,73,B
STU0002,CRS008,79,B+
STU0003,CRS007,87,A
STU0003,CRS004,84,B+
STU0003,CRS003,86,A
STU0003,CRS006,74,B
STU0003,CRS010,86,A
STU0003,CRS012,56,C
STU0003,CRS014,60,C
STU0003,CRS013,80,B+
STU0003,CRS009,87,A
STU0004,CRS004,93,A
STU0004,CRS015,96,A
STU0004,CRS010,98,A
STU0004,CRS006,85,A
STU0004,CRS001,73,B
STU0004,CRS011,89,A
STU0004,CRS005,55,C
STU0004,CRS008,61,C
STU0005,CRS003,58,C
STU0005,CRS005,91,A
STU0005,CRS012,90,A
STU0005,CRS006,67,B
STU0005,CRS007,78,B+
STU0005,CRS013,90,A
STU0005,CRS001,73,B
STU0005,CRS011,59,C
STU0006,CRS009,61,C
STU0006,CRS008,80,B+
STU0006,CRS013,78,B+
STU0006,CRS015,76,B+
STU0006,CRS005,90,A
STU0006,CRS010,78,B+
STU0006,CRS002,64,C
STU0006,CRS003,67,B
STU0007,CRS009,85,A
STU0007,CRS007,88,A
STU0007,CRS015,84,B+
STU0007,CRS001,64,C
STU0007,CRS012,93,A
STU0007,CRS011,87,A
STU0007,CRS003,63,C
STU0007,CRS006,75,B+
STU0007,CRS014,94,A
STU0008,CRS003,87,A
STU0008,CRS007,87,A
STU0008,CRS010,89,A
STU0008,CRS012,86,A
STU0008,CRS005,91,A
STU0008,CRS013,74,B
STU0008,CRS006,85,A
STU0009,CRS006,92,A
STU0009,CRS015,74,B
STU0009,CRS011,95,A
STU0009,CRS002,56,C
STU0009,CRS007,93,A
STU0010,CRS005,65,B
STU0010,CRS011,88,A
STU0010,CRS013,95,A
STU0010,CRS010,94,A
STU0010,CRS012,79,B+
STU0010,CRS004,64,C
STU0010,CRS001,98,A
STU0010,CRS008,70,B
STU0011,CRS010,83,B+
STU0011,CRS012,75,B+
STU0011,CRS002,81,B+
STU0011,CRS004,64,C
STU0011,CRS001,81,B+
STU0012,CRS004,97,A
STU0012,CRS007,85,A
STU0012,CRS009,88,A
STU0012,CRS010,79,B+
STU0012,CRS008,75,B+
STU0012,CRS001,66,B
STU0012,CRS003,84,B+
STU0012,CRS015,89,A
STU0012,CRS005,76,B+
STU0012,CRS013,89,A
STU0013,CRS011,67,B
STU0013,CRS013,70,B
STU0013,CRS012,72,B
STU0013,CRS015,90,A
STU0013,CRS014,74,B
STU0013,CRS005,69,B
STU0013,CRS008,74,B
STU0014,CRS012,77,B+
STU0014,CRS004,90,A
STU0014,CRS015,72,B
STU0014,CRS013,73,B
STU0014,CRS008,62,C
STU0014,CRS006,91,A
STU0014,CRS011,98,A
STU0015,CRS007,83,B+
STU0015,CRS015,96,A
STU0015,CRS006,71,B
STU0015,CRS003,85,A
STU0015,CRS005,68,B
STU0015,CRS001,67,B
STU0015,CRS011,89,A
STU0015,CRS002,72,B
STU0015,CRS012,90,A
STU0016,CRS005,69,B
STU0016,CRS003,95,A
STU0016,CRS002,69,B
STU0016,CRS010,58,C
STU0016,CRS012,61,C
STU0016,CRS004,81,B+
STU0016,CRS011,76,B+
STU0016,CRS001,85,A
STU0016,CRS006,61,C
STU0016,CRS015,98,A
STU0017,CRS001,85,A
STU0017,CRS009,96,A
STU0017,CRS003,67,B
STU0017,CRS007,73,B
STU0017,CRS011,75,B+
STU0017,CRS008,73,B
STU0018,CRS001,66,B
STU0018,CRS013,57,C
STU0018,CRS002,80,B+
STU0018,CRS011,86,A
STU0018,CRS010,66,B
STU0018,CRS004,73,B
STU0018,CRS009,57,C
STU0018,CRS015,55,C
STU0018,CRS014,74,B
STU0018,CRS012,91,A
STU0019,CRS002,87,A
STU0019,CRS006,84,B+
STU0019,CRS005,72,B
STU0019,CRS008,67,B
STU0019,CRS011,62,C
STU0019,CRS009,76,B+
STU0019,CRS010,65,B
STU0019,CRS012,84,B+
STU0019,CRS015,96,A
STU0020,CRS012,66,B
STU0020,CRS003,94,A
STU0020,CRS001,95,A
STU0020,CRS015,80,B+
STU0020,CRS006,82,B+
STU0020,CRS005,87,A
STU0020,CRS004,75,B+
STU0021,CRS007,85,A
STU0021,CRS011,75,B+
STU0021,CRS002,70,B
STU0021,CRS003,55,C
STU0021,CRS012,71,B
STU0022,CRS004,96,A
STU0022,CRS008,78,B+
STU0022,CRS013,70,B
STU0022,CRS005,58,C
STU0022,CRS006,97,A
STU0022,CRS012,62,C
STU0022,CRS001,84,B+
STU0022,CRS010,74,B
STU0023,CRS007,95,A
STU0023,CRS011,73,B
STU0023,CRS009,78,B+
STU0023,CRS012,94,A
STU0023,CRS005,69,B
STU0023,CRS002,69,B
STU0024,CRS008,81,B+
STU0024,CRS003,90,A
STU0024,CRS015,85,A
STU0024,CRS012,89,A
STU0024,CRS010,97,A
STU0024,CRS006,68,B
STU0025,CRS011,88,A
STU0025,CRS013,78,B+
STU0025,CRS010,59,C
STU0025,CRS002,91,A
STU0025,CRS009,62,C
STU0025,CRS008,58,C
STU0026,CRS015,88,A
STU0026,CRS009,83,B+
STU0026,CRS004,62,C
STU0026,CRS010,98,A
STU0026,CRS014,68,B
STU0026,CRS003,92,A
STU0026,CRS012,86,A
STU0026,CRS006,60,C
STU0026,CRS007,87,A
STU0027,CRS013,90,A
STU0027,CRS001,84,B+
STU0027,CRS008,98,A
STU0027,CRS003,74,B
STU0027,CRS009,56,C
STU0027,CRS007,80,B+
STU0027,CRS015,71,B
STU0027,CRS014,55,C
STU0028,CRS004,57,C
STU0028,CRS010,73,B
STU0028,CRS002,81,B+
STU0028,CRS001,66,B
STU0028,CRS007,63,C
STU0028,CRS006,96,A
STU0028,CRS013,96,A
STU0028,CRS012,81,B+
STU0028,CRS008,78,B+
STU0028,CRS015,79,B+
STU0029,CRS014,62,C
STU0029,CRS007,66,B
STU0029,CRS015,89,A
STU0029,CRS002,80,B+
STU0029,CRS011,88,A
STU0029,CRS009,63,C
STU0029,CRS003,69,B
STU0029,CRS006,55,C
STU0030,CRS005,82,B+
STU0030,CRS008,89,A
STU0030,CRS011,79,B+
STU0030,CRS012,69,B
STU0030,CRS009,70,B
STU0031,CRS006,70,B
STU0031,CRS003,68,B
STU0031,CRS005,59,C
STU0031,CRS004,61,C
STU0031,CRS002,93,A
STU0031,CRS001,57,C
STU0031,CRS007,83,B+
STU0031,CRS010,93,A
STU0032,CRS012,58,C
STU0032,CRS014,63,C
STU0032,CRS001,87,A
STU0032,CRS004,73,B
STU0032,CRS013,69,B
STU0032,CRS007,91,A
STU0032,CRS008,75,B+
STU0032,CRS015,91,A
STU0032,CRS005,93,A
STU0032,CRS002,98,A
STU0033,CRS004,74,B
STU0033,CRS005,72,B
STU0033,CRS003,58,C
STU0033,CRS011,90,A
STU0033,CRS009,92,A
STU0033,CRS015,66,B
STU0033,CRS007,95,A
STU0034,CRS007,81,B+
STU0034,CRS009,64,C
STU0034,CRS008,74,B
STU0034,CRS001,79,B+
STU0034,CRS006,66,B
STU0034,CRS015,89,A
STU0034,CRS014,85,A
STU0034,CRS011,70,B
STU0034,CRS013,69,B
STU0034,CRS004,74,B
STU0035,CRS003,71,B
STU0035,CRS013,68,B
STU0035,CRS008,76,B+
STU0035,CRS001,96,A
STU0035,CRS009,60,C
STU0035,CRS007,83,B+
STU0035,CRS010,78,B+
STU0035,CRS015,60,C
STU0035,CRS004,89,A
STU0035,CRS002,67,B
STU0036,CRS005,57,C
STU0036,CRS007,59,C
STU0036,CRS011,67,B
STU0036,CRS010,92,A
STU0036,CRS012,97,A
STU0037,CRS004,62,C
STU0037,CRS008,85,A
STU0037,CRS015,70,B
STU0037,CRS006,93,A
STU0037,CRS005,68,B
STU0037,CRS001,80,B+
STU0037,CRS013,70,B
STU0037,CRS009,90,A
STU0037,CRS012,75,B+
STU0038,CRS007,78,B+
STU0038,CRS008,87,A
STU0038,CRS009,86,A
STU0038,CRS011,84,B+
STU0038,CRS006,61,C
STU0038,CRS005,85,A
STU0038,CRS010,75,B+
STU0039,CRS006,64,C
STU0039,CRS015,56,C
STU0039,CRS007,71,B
STU0039,CRS001,90,A
STU0039,CRS010,92,A
STU0039,CRS004,92,A
STU0040,CRS007,96,A
STU0040,CRS005,98,A
STU0040,CRS003,76,B+
STU0040,CRS004,71,B
STU0040,CRS006,86,A
STU0040,CRS012,96,A
STU0040,CRS015,86,A
STU0040,CRS010,84,B+
STU0040,CRS008,65,B
STU0040,CRS014,77,B+
STU0041,CRS003,96,A
STU0041,CRS012,58,C
STU0041,CRS009,88,A
STU0041,CRS008,57,C
STU0041,CRS015,59,C
STU0041,CRS013,97,A
STU0042,CRS013,69,B
STU0042,CRS001,59,C
STU0042,CRS007,64,C
STU0042,CRS003,55,C
STU0042,CRS011,68,B
STU0043,CRS008,55,C
STU0043,CRS006,89,A
STU0043,CRS001,90,A
STU0043,CRS010,81,B+
STU0043,CRS011,55,C
STU0043,CRS012,56,C
STU0043,CRS015,88,A
STU0043,CRS009,72,B
STU0043,CRS013,89,A
STU0044,CRS001,61,C
STU0044,CRS009,88,A
STU0044,CRS012,64,C
STU0044,CRS011,70,B
STU0044,CRS007,67,B
STU0044,CRS003,94,A
STU0044,CRS002,88,A
STU0045,CRS014,84,B+
STU0045,CRS006,91,A
STU0045,CRS005,70,B
STU0045,CRS007,69,B
STU0045,CRS002,74,B
STU0045,CRS015,98,A
STU0045,CRS012,60,C
STU0046,CRS014,58,C
STU0046,CRS011,95,A
STU0046,CRS013,55,C
