assessment_id,student_id,skill,knowledge_score,problem_solving_score,coding_score,final_score,proficiency,assessment_type
ASM00001,STU0195,Python,90,65,92,83.3,Intermediate,proctored
ASM00002,STU0428,MongoDB,100,100,64,85.6,Advanced,practice
ASM00003,STU0363,React,83,98,40,70.3,Intermediate,practice
ASM00004,STU0314,SQL,81,48,52,59.5,Beginner,practice
ASM00005,STU0225,FastAPI,96,65,60,72.3,Intermediate,proctored
ASM00006,STU0307,Node.js,45,48,72,56.7,Beginner,practice
ASM00007,STU0125,Data Science,85,93,43,70.6,Intermediate,proctored
ASM00008,STU0403,Machine Learning,95,100,56,80.9,Intermediate,practice
ASM00009,STU0272,Firebase,92,75,61,74.5,Intermediate,practice
ASM00010,STU0273,Data Science,89,100,61,81.1,Intermediate,proctored
ASM00011,STU0055,Java,77,80,88,82.3,Intermediate,proctored
ASM00012,STU0132,JavaScript,63,62,59,61.1,Beginner,proctored
ASM00013,STU0272,HTML/CSS,40,60,55,52.0,Beginner,practice
ASM00014,STU0211,HTML/CSS,59,48,63,57.3,Beginner,practice
ASM00015,STU0410,Python,70,75,95,81.5,Intermediate,practice
ASM00016,STU0282,FastAPI,80,68,74,74.0,Intermediate,practice
ASM00017,STU0015,Docker,51,42,54,49.5,Not Verified,proctored
ASM00018,STU0087,Java,55,96,44,62.9,Beginner,practice
ASM00019,STU0018,Firebase,97,45,79,74.2,Intermediate,practice
ASM00020,STU0287,Machine Learning,66,99,53,70.7,Intermediate,proctored
ASM00021,STU0277,HTML/CSS,70,76,73,73.0,Intermediate,practice
ASM00022,STU0082,Firebase,96,73,71,79.1,Intermediate,proctored
ASM00023,STU0424,HTML/CSS,84,44,56,60.8,Beginner,proctored
ASM00024,STU0413,Node.js,76,63,91,78.1,Intermediate,practice
ASM00025,STU0089,Git,92,47,70,69.7,Beginner,practice
ASM00026,STU0159,Node.js,47,67,40,50.2,Beginner,proctored
ASM00027,STU0100,HTML/CSS,51,74,75,67.5,Beginner,proctored
ASM00028,STU0242,Python,41,60,45,48.3,Not Verified,proctored
ASM00029,STU0092,FastAPI,71,59,61,63.4,Beginner,proctored
ASM00030,STU0077,Python,49,83,50,59.6,Beginner,proctored
ASM00031,STU0043,C++,96,71,63,75.3,Intermediate,practice
ASM00032,STU0188,Node.js,44,65,57,55.5,Beginner,practice
ASM00033,STU0318,JavaScript,82,95,84,86.7,Advanced,proctored
ASM00034,STU0029,MongoDB,96,57,65,71.9,Intermediate,practice
ASM00035,STU0068,MongoDB,69,60,81,71.1,Intermediate,proctored
ASM00036,STU0400,Java,62,50,65,59.6,Beginner,practice
ASM00037,STU0130,Node.js,50,92,43,59.8,Beginner,proctored
ASM00038,STU0445,C++,65,43,70,60.4,Beginner,practice
ASM00039,STU0150,C++,74,99,100,91.9,Advanced,proctored
ASM00040,STU0104,Python,76,63,72,70.5,Intermediate,practice
ASM00041,STU0073,Firebase,55,84,75,71.7,Intermediate,proctored
ASM00042,STU0204,FastAPI,85,81,40,65.8,Beginner,practice
ASM00043,STU0026,HTML/CSS,45,95,56,64.4,Beginner,practice
ASM00044,STU0229,Git,49,54,48,50.1,Beginner,practice
ASM00045,STU0249,Java,57,87,82,76.0,Intermediate,practice
ASM00046,STU0257,C++,46,79,80,69.5,Beginner,practice
ASM00047,STU0004,Java,63,42,86,65.9,Beginner,proctored
ASM00048,STU0290,Machine Learning,71,78,94,82.3,Intermediate,practice
ASM00049,STU0343,JavaScript,41,79,48,55.2,Beginner,practice
ASM00050,STU0038,Git,48,42,47,45.8,Not Verified,proctored
ASM00051,STU0282,C++,86,62,48,63.6,Beginner,proctored
ASM00052,STU0117,C++,49,76,68,64.7,Beginner,proctored
ASM00053,STU0426,Node.js,76,81,94,84.7,Intermediate,proctored
ASM00054,STU0387,Data Science,77,61,72,70.2,Intermediate,proctored
ASM00055,STU0304,Firebase,46,61,74,61.7,Beginner,practice
ASM00056,STU0469,SQL,91,47,44,59.0,Beginner,practice
ASM00057,STU0432,React,91,78,81,83.1,Intermediate,practice
ASM00058,STU0043,Node.js,78,50,41,54.8,Beginner,practice
ASM00059,STU0172,MongoDB,99,69,59,74.0,Intermediate,proctored
ASM00060,STU0406,Node.js,98,51,59,68.3,Beginner,practice
ASM00061,STU0424,React,77,66,50,62.9,Beginner,practice
ASM00062,STU0067,SQL,78,45,73,66.1,Beginner,proctored
ASM00063,STU0355,Java,51,59,81,65.4,Beginner,practice
ASM00064,STU0373,Data Science,55,88,99,82.5,Intermediate,practice
