project_id,student_id,language_or_technology,usage_percentage
PRJ00001,STU0321,Python,39
PRJ00001,STU0321,Firebase,98
PRJ00002,STU0194,Python,20
PRJ00002,STU0194,Machine Learning,54
PRJ00003,STU0029,React,83
PRJ00003,STU0029,Node.js,33
PRJ00003,STU0029,MongoDB,28
PRJ00004,STU0029,HTML/CSS,100
PRJ00004,STU0029,JavaScript,86
PRJ00005,STU0050,React,24
PRJ00005,STU0050,Firebase,94
PRJ00006,STU0320,Python,92
PRJ00006,STU0320,FastAPI,31
PRJ00006,STU0320,Machine Learning,71
PRJ00007,STU0451,React,17
PRJ00007,STU0451,Firebase,59
PRJ00008,STU0265,Python,52
PRJ00008,STU0265,Machine Learning,86
PRJ00009,STU0305,React,38
PRJ00009,STU0305,Node.js,45
PRJ00009,STU0305,MongoDB,18
PRJ00010,STU0327,HTML/CSS,15
PRJ00010,STU0327,JavaScript,43
PRJ00011,STU0372,React,16
PRJ00011,STU0372,Firebase,58
PRJ00012,STU0409,Python,97
PRJ00012,STU0409,FastAPI,28
PRJ00012,STU0409,Machine Learning,84
PRJ00013,STU0224,HTML/CSS,22
PRJ00013,STU0224,JavaScript,20
PRJ00014,STU0398,Java,79
PRJ00014,STU0398,SQL,67
PRJ00015,STU0176,React,31
PRJ00015,STU0176,Node.js,26
PRJ00015,STU0176,MongoDB,75
PRJ00016,STU0337,Python,30
PRJ00016,STU0337,FastAPI,45
PRJ00016,STU0337,Machine Learning,71
PRJ00017,STU0420,Java,25
PRJ00017,STU0420,SQL,76
PRJ00018,STU0500,Python,34
PRJ00018,STU0500,Data Science,12
PRJ00018,STU0500,SQL,21
PRJ00019,STU0342,Python,78
PRJ00019,STU0342,Firebase,24
PRJ00020,STU0494,Python,67
PRJ00020,STU0494,Machine Learning,99
PRJ00021,STU0054,Python,84
PRJ00021,STU0054,Firebase,61
PRJ00022,STU0328,Python,93
PRJ00022,STU0328,Data Science,16
PRJ00022,STU0328,SQL,71
PRJ00023,STU0123,Python,52
PRJ00023,STU0123,Firebase,96
PRJ00024,STU0095,Java,67
PRJ00024,STU0095,SQL,77
PRJ00025,STU0184,Python,88
PRJ00025,STU0184,FastAPI,76
PRJ00025,STU0184,Machine Learning,93
PRJ00026,STU0100,Python,42
PRJ00026,STU0100,FastAPI,83
PRJ00026,STU0100,Machine Learning,71
